Date and time,Energy per inverter|Primo 3.8-1 208-240 (# 1),Energy per inverter per kWp|Primo 3.8-1 208-240 (# 1),Total system,
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh],
24.10.2018,1.68,0.44,1.68,
25.10.2018,9.89,2.60,9.89,
26.10.2018,13.31,3.50,13.31,
27.10.2018,13.56,3.57,13.56,
28.10.2018,11.74,3.09,11.74,
29.10.2018,2.78,0.73,2.78,
30.10.2018,1.47,0.39,1.47,
31.10.2018,4.70,1.24,4.70,
01.11.2018,11.61,3.05,11.61,
02.11.2018,7.90,2.08,7.90,
03.11.2018,4.28,1.13,4.28,
04.11.2018,2.80,0.74,2.80,
05.11.2018,7.41,1.95,7.41,
06.11.2018,8.94,2.35,8.94,
07.11.2018,1.67,0.44,1.67,
08.11.2018,5.52,1.45,5.52,
09.11.2018,13.48,3.55,13.48,
10.11.2018,8.67,2.28,8.67,
11.11.2018,0.00,0.00,0.00,
12.11.2018,1.66,0.44,1.66,
13.11.2018,7.21,1.90,7.21,
14.11.2018,12.50,3.29,12.50,
15.11.2018,11.73,3.09,11.73,
16.11.2018,9.89,2.60,9.89,
17.11.2018,0.90,0.24,0.90,
18.11.2018,10.77,2.84,10.77,
19.11.2018,11.68,3.07,11.68,
20.11.2018,11.46,3.02,11.46,
21.11.2018,11.04,2.91,11.04,
22.11.2018,1.37,0.36,1.37,
23.11.2018,10.73,2.82,10.73,
24.11.2018,1.29,0.34,1.29,
25.11.2018,11.75,3.09,11.75,
26.11.2018,10.81,2.85,10.81,
27.11.2018,8.24,2.17,8.24,
28.11.2018,10.09,2.65,10.09,
29.11.2018,5.61,1.48,5.61,
30.11.2018,2.97,0.78,2.97,
01.12.2018,10.81,2.85,10.81,
02.12.2018,2.29,0.60,2.29,
03.12.2018,2.97,0.78,2.97,
04.12.2018,11.06,2.91,11.06,
05.12.2018,1.21,0.32,1.21,
06.12.2018,2.10,0.55,2.10,
07.12.2018,0.92,0.24,0.92,
08.12.2018,10.90,2.87,10.90,
09.12.2018,10.24,2.69,10.24,
10.12.2018,9.88,2.60,9.88,
11.12.2018,6.17,1.62,6.17,
12.12.2018,0.80,0.21,0.80,
13.12.2018,0.68,0.18,0.68,
14.12.2018,10.66,2.81,10.66,
15.12.2018,6.23,1.64,6.23,
16.12.2018,9.99,2.63,9.99,
17.12.2018,7.05,1.86,7.05,
18.12.2018,1.56,0.41,1.56,
19.12.2018,9.23,2.43,9.23,
20.12.2018,10.62,2.79,10.62,
21.12.2018,9.99,2.63,9.99,
22.12.2018,10.37,2.73,10.37,
23.12.2018,7.02,1.85,7.02,
24.12.2018,7.51,1.98,7.51,
25.12.2018,3.05,0.80,3.05,
26.12.2018,5.07,1.33,5.07,
27.12.2018,7.08,1.86,7.08,
28.12.2018,2.17,0.57,2.17,
29.12.2018,2.47,0.65,2.47,
30.12.2018,3.01,0.79,3.01,
31.12.2018,1.19,0.31,1.19,
01.01.2019,0.62,0.16,0.62,
02.01.2019,0.89,0.23,0.89,
03.01.2019,10.11,2.66,10.11,
04.01.2019,10.59,2.79,10.59,
05.01.2019,7.43,1.96,7.43,
06.01.2019,9.93,2.61,9.93,
07.01.2019,11.22,2.95,11.22,
08.01.2019,11.76,3.10,11.76,
09.01.2019,2.98,0.79,2.98,
10.01.2019,0.25,0.07,0.25,
11.01.2019,0.73,0.19,0.73,
12.01.2019,1.40,0.37,1.40,
13.01.2019,1.73,0.45,1.73,
14.01.2019,11.13,2.93,11.13,
15.01.2019,2.05,0.54,2.05,
16.01.2019,1.66,0.44,1.66,
17.01.2019,10.09,2.65,10.09,
18.01.2019,1.25,0.33,1.25,
19.01.2019,13.05,3.43,13.05,
20.01.2019,13.31,3.50,13.31,
21.01.2019,1.00,0.26,1.00,
22.01.2019,7.11,1.87,7.11,
23.01.2019,11.00,2.89,11.00,
24.01.2019,5.15,1.35,5.15,
25.01.2019,13.57,3.57,13.57,
26.01.2019,13.38,3.52,13.38,
27.01.2019,5.13,1.35,5.13,
28.01.2019,14.74,3.88,14.74,
29.01.2019,14.98,3.94,14.98,
30.01.2019,5.65,1.49,5.65,
