MONTH,DAY,STID,TMAX,TMIN,TAVG,DMAX,DMIN,DAVG,HMAX,HMIN,HAVG,VDEF,9AVG,HDEG,CDEG,HTMX,WCMN,PDIR,PDFQ,SDIR,SDFQ,WSMX,WSMN,WSPD,WDEV,WMAX,2MAX,2MIN,2AVG,2DEV,PMAX,PMIN,PAVG,MSLP,AMAX,ATOT,RAIN,RNUM,RMAX
1,22,NRMN,55.06,25.58,42.42,50.49,15.4,36.89,93.5,64.32,80.73,1.81,42.51,24.68,0,-996,10.53,7,44.79,15,25.35,24.85,7.44,16.75,4.56,37.2,20,6.34,13.57,3.32,28.86,28.48,28.62,29.86,173.68,1.7,0.01,1,0.12
1,23,NRMN,42.71,20.71,30.57,21.44,15.08,17.54,82.46,37.14,59.67,2.63,31.06,33.29,0,-996,8.39,14,37.13,15,30.15,22.12,1.11,10.44,5.19,30.18,17.56,0,8.07,4.56,28.93,28.76,28.84,30.09,641.93,14.26,0,0,0
1,24,NRMN,47.89,25.57,34.92,28.6,18.37,23.92,81.43,40.77,64.93,2.68,35.97,28.27,0,-996,17.19,-996,-999,-996,-999,20.8,0,7.87,5.76,26.24,16.41,0,5.85,5.26,29.14,28.76,28.92,30.17,688.07,8.93,0,0,0
1,25,NRMN,40.48,17.85,27.79,18.85,10.12,14.66,76.81,33.26,58.98,2.35,29,35.83,0,-996,10.59,-996,-999,-996,-999,8.79,0,3.6,1.6,11.98,7.12,0,2.22,1.64,29.15,28.96,29.05,30.31,642.93,9.39,0,0,0
1,26,NRMN,55.47,22.48,39.3,29.95,18.13,23.93,91.37,25.47,58.54,4.38,40.82,26.03,0,-996,18.83,10,33.21,11,31.43,10.87,0,5.46,2.08,16.88,8.93,0,3.47,2.45,29,28.84,28.92,30.18,668.33,12.87,0,0,0
1,27,NRMN,59.56,29.36,44.48,31.57,23.22,27.37,83.16,27.71,53.9,5.52,45.47,20.54,0,-996,23.68,13,27.8,8,16.25,13.01,0.93,7.54,2.51,18.41,10.83,0,5.46,2.82,28.92,28.54,28.79,30.04,641.78,14.55,0,0,0
1,28,NRMN,47.1,24.68,40.46,34.04,15.14,24.36,69.98,38.1,52.88,4.17,41.37,29.11,0,-996,19.97,0,46.13,1,22.18,29.06,0.54,14.13,7.26,42.01,23.76,0,11.13,6.32,29.05,28.48,28.77,30.02,711.27,7.93,0,0,0
1,29,NRMN,43.53,19.03,32.05,21.02,8.1,15.36,84.94,25.41,54.15,3.36,33.26,33.72,0,-996,13.45,13,23.57,9,20.15,11.67,0,4.97,2.42,16.88,9.61,0,3.12,2.76,29.07,28.92,28.99,30.25,667.28,11.19,0,0,0
1,30,NRMN,42.62,19,30.55,19.79,11.54,16.16,80.64,35.74,56.26,2.79,31.14,34.19,0,-996,8.13,4,31.47,5,18.18,14.19,1.55,7.58,2.53,20.89,12.37,0,5.88,2.37,29.04,28.86,28.94,30.2,656.8,14.93,0,0,0
1,31,NRMN,52.56,23.64,40.04,44.61,17.49,33.32,87.45,65.39,76.91,2.09,40.72,26.9,0,-996,17.04,7,41.46,8,17.77,13.65,2.16,6.78,2.25,20.89,11.77,0,5.18,2.56,28.86,28.73,28.8,30.05,319.86,4.61,0,0,0
